id,title,titleKr,artist,tj,ky,series_id,type
dd5b1467-8d5b-4d18-b00b-2044562fa352,レイン,,시도,27062,43237,,INSERT
3cfa0840-bec1-4598-a651-92a3221c0c0d,RAY OF LIGHT,,나카가와 쇼코(中川翔子),27050,XXX,,INSERT
b60f09ac-3e26-4e42-8da8-3be4f522fc47,瞬間センチメンタル,,SCANDAL,27856,43976,,INSERT
91295693-58a8-4170-a8fb-5a566c2288c6,GOOD LUCK MY WAY,,L'Arc~en~Ciel,27584,43380,,INSERT
38b33bfb-da3f-4db8-9a7f-bf50c837153d,홈런왕강속구,,만화영화,45232ⓗ,XXX,,INSERT
7085fbdc-1184-4d4f-862e-9cac21a683d1,개구리 왕눈이,,만화영화주제가,5385,2739,,INSERT
15ba65cd-6c39-4535-975c-6665b0c7994a,君にジュースを買「か」ってあげる,,그룹 타마시이(グループ魂),26332,40098,,INSERT
1cb8a11e-a174-44c9-b76d-313e5bde365f,ケロッ!とマーチ,,카쿠다 노부아키&이하타 쥬리(角田信朗&いはたじゅり),25906,40189,,INSERT
b0647e22-234f-4bf6-b754-a0cbf008f0c2,全国無責任時代,,가가가SP(ガガガSP),28388ⓗ,42682ⓕ,,INSERT
c45bce94-ea66-403c-8463-da76a6cc74fd,アフロ軍曹,,댄스☆맨(ダンス☆マン),26447,XXX,,INSERT
f141c311-3e1a-4f66-a44b-d4431b614bb4,케로로 행진곡,,양정화[K],15621,69687,,INSERT
9338dad2-91e5-4686-aee0-627aeab986d4,흔들어,,원투,15528,69688,,INSERT
ab1b9482-1fe8-4158-b23f-5e399e0c36f4,위풍당당 케로로,,양정화[K],16384,81156,,INSERT
dc7179c9-b8c4-4cf3-9421-6b1640551a85,사랑을 주세요,,타이푼(Typhoon),16360,45684,,INSERT
b6703b9d-821e-40a3-ae69-74afd61e88dc,거침없이 라랄라,,거북이,18584,46043,,INSERT
c2c82fe5-3b9c-4caf-a885-dab871f9cc93,설레임,,타이푼(Typhoon),18585,83124,,INSERT
2ac114f1-66bb-4f07-94b9-57d1ea3addde,아싸아싸,,양정화,30260,83817,,INSERT
29534abf-5b7a-4ef9-aec2-30639676b461,치고받고 케로로,,양정화(with 시영준),45185,86161,,INSERT
1b19d880-0df2-4cd0-be9d-ac97909ee544,슬픈 안드로이드,,W&Whale,31052,46630,,INSERT
16d4e9f5-2389-4e06-88fb-832689fa2194,케로로 시대,,양정화,45188,86517,,INSERT
2242f73e-709d-46ef-9471-31ea91261d94,효도손이나 효도르나,,이용신,45189,86518,,INSERT
d7b42f33-13d3-4689-880d-1651b892d13d,케로로 행진곡 (Final Ver.),,케로로 소대,XXX,87062,,INSERT
390b6f33-64d0-405b-8bb1-8756edad2f7a,말하자면 막나가기,,이용신,45210,XXX,,INSERT
f9e9e337-2ac6-42e0-89ec-e021cbbc731a,아~진짜!,,유정석,39990,75646,,INSERT
ce8c3c53-4e17-4804-8869-bcc8d1a2fe1d,개구장이태즈,,지구수비대,5660,XXX,,INSERT
cdb2f0f0-e03f-4635-8a05-05ecb65369c9,アタック!ギャグマンガ日和,,우에다 유우지(うえだゆうじ),26336,42578,,INSERT
94ba9251-77f0-4d7f-a90c-5c5ff9bca60b,ギャラクシー★Bang! Bang!,,엔젤대(エンジェル隊),25905,XXX,,INSERT
e85d6b07-3dab-4eb7-af1d-6971478c9a53,茜色が燃えるとき,,스쿠비 두(スクービードゥー),25834,XXX,,INSERT
b8c34706-baec-4b96-85a8-0837152361cf,ニブンノイチ,,BACK-ON,28233ⓗ,43933,,INSERT
afc0d825-4db5-4f89-b089-dbcabbb99d99,wimp ft.Lil' Fang(from FAKY),,BACK-ON,28620ⓗ,43984,,INSERT
d86c92ae-d086-4104-b7bc-c8e69ea51899,Imagination > Reality,,AiRI,28546ⓗ,XXX,,INSERT
71fae6c1-0f0e-41e3-9c6f-caac92d0f1c3,セルリアン,,BACK-ON,28507ⓗ,XXX,,INSERT
8589b055-d55a-4217-a72c-828abc5e800b,Grand blue,,키타하라 아이코(北原愛子),26747,XXX,,INSERT
7b646c22-1ff5-4104-abe1-7459cf4aaf7e,たった１つの想い,,KOKIA,27912,43023,,INSERT
a62b1eea-78de-4d1c-a13c-fc32584297cc,かくしん的☆めたまるふぉ〜ぜっ！,,타나카 아이미(田中あいみ),28421ⓗ,43960,,INSERT
1c351ba2-90cd-4f6f-be07-21687c113b1c,にめんせい☆ウラオモテライフ！,,타나카 아이미(田中あいみ),28786,44216,,INSERT
8dc95da7-7688-48c9-82db-9f7c2061810f,健全ロボ ダイミダラー,,엔도회遠藤会,28541ⓗ,XXX,,INSERT
2e9d743e-8b93-4a43-ad7f-e5dbe9ae4caf,DreamRiser,,ChouCho,27832,44009,,INSERT
c48533d8-65a3-4260-8943-b588304894cc,雑踏、僕らの街,,토게나시 토게아리(トゲナシトゲアリ),68490,XXX,,INSERT
