id,title,titleKr
ab205dfb-33be-49db-bef5-4b2b6fb0a454,,근육맨2세
49a655a3-0e83-4820-94a8-2496aeda8cec,,글레이프니르
f6be5ce3-aff4-4900-98e9-a09066538575,,금색의 갓슈벨
a0661c15-b087-4b75-bcdc-00ef42a13c48,,금색의 코르다
7884fff7-7621-424c-9db4-e8b13ef8190d,,기가 트라이브
d83873cd-5820-431c-875f-efb18e5f72bb,,기갑전기 드라고나
d392ecf7-7659-44a7-8b83-01ab4333a889,,기교소녀는 상처받지 않아
3e16b27a-0a2f-40df-9fc6-516a6d983547,,기동경찰 패트레이버
ccd574b9-ffa8-4db3-97ea-76d53e5fd052,,기동무투전 G건담
3ff0e029-c7a3-4742-82fb-c6805863cee4,,기동신세기 건담 X
ca4f3a94-0905-4ea2-8c70-2852d7bd300f,,기동아 부탁해
c50b73c5-6a75-484f-8ae4-75a583c06bc2,,기동전사 건담
925e04a6-334c-4a07-9198-256bb3e1f0bf,,기동전사 건담Ⅱ 애・전사편
4911276a-4ba4-492e-a104-cea16fcc37c0,,기동전사 건담 역습의 샤아
0271c033-7896-4cc8-a2cb-350bc26f4dd2,,기동전사 건담 제08MS소대
f908af60-1860-4ac1-9a05-48506f601c19,,기동전사 건담 철혈의 오펀스
60feedb8-eccb-441d-bde5-140e32d26f5f,,기동전사 건담: 섬광의 하사웨이
73c02801-0e3f-42cf-8d2f-7319549a637a,,기동전사 건담 수성의 마녀
0fd1da6a-a146-4770-9ff5-aa871ce4a762,,기동전사 건담 AGE
3a6c8840-eb14-4862-b803-16b887d1bba7,,기동전사 건담 F91
13f70d88-98e1-42b5-aa51-125facb6acec,,기동전사 건담 00
c0046816-b5ab-470a-8bc2-bfe532635007,,기동전사 건담 002nd season
b6dd9734-9966-4e0a-9cd7-e9ee236232f2,,"기동전사 건담 00 A wakening of the
                        Trailblazer"
9cd658ac-c34c-458b-9e2b-2e7de9642a00,,기동전사 건담 SEED
8963a181-954a-4dd6-bff8-ba41350b2263,,기동전사 건담 SEED DESTINY
f8830822-27a3-4284-97fa-5459a4ab839e,,기동전사 건담 SEED MSV
9727a467-2d13-49f8-9221-36045af05b53,,기동전사 건담 SEED FREEDOM
d6e52c26-81ed-4a6b-a195-ebfa6afc0273,,기동전사 건담 UC
40f2d8ce-7938-4686-8fba-a1bdd2780f3e,,기동전사 건담 ZZ
03640793-a979-4b4c-9eb7-b8d48cb36ae8,,기동전사 V건담
df30a01a-2f31-4ee7-868d-cfb7886e4ce8,,기동전사 Z 건담
d14d83c0-85dc-4ac9-a5be-6e783351b50a,,기동전사 Z 건담 A New Translation -별을 잇는 자-
3ff85544-db72-46ec-9768-9ac26edfa3f4,,"기동전사 Z 건담 III A New Translation -별의 고동은
                        사랑-"
88db3d21-b6c2-4716-9c99-7361e1028f15,,기동전함 나데시코
9700b5da-3862-4811-82c9-e146386a8801,,기동천사 엔젤릭 레이어
20aa9f00-3217-4f36-9e43-09a116e1b4c4,,기븐
0c897be9-c2d8-4f57-8d24-1c6044b5bc64,,"극장판
                        기븐"
70dd7cad-3c33-42e9-a144-a72285563538,,극장판 기븐 히이라기 mix
c3767ed4-3467-4b21-b94b-0c65b9da8714,,기생수
5404feaa-4e24-47c1-b348-7e21bee4691f,,기신대전 기간틱 포뮬러
a63f99f4-1337-445f-9d04-f7f377e0ac89,,기어와라! 냐루코양
15568e81-d490-44f2-bc60-bf92d3083aa9,,기어와라! 냐루코양W
7e7661aa-c068-49f9-acb1-0b1b384e7eeb,,기어전사 덴도
af7646f1-df4b-4cee-9ea3-4854bc45827e,,길 잃은 고양이 오버런!
54a5b9fc-1160-4b6d-a302-727d2c168d21,,"길티
                        크라운"
8337759b-cc06-4b85-829c-bdeef5f2e711,,꼬마마법사 레미
a3f62b0b-1e73-4d64-9511-e25eef4bfb4e,,꼬마마법사 레미 Vivace
01945e47-345a-456e-9ec4-50cebf305ec2,,꼬마버스 타요
053847de-0ca7-49e6-8221-aa56239e8352,,꼬마여신 카린
7ff763ce-495c-4618-b2de-6f3af9d5fc94,,꼬마자동차 붕붕
caa1916d-61c1-4606-8f8b-9debf788b38f,,꽃이 피는 첫걸음
a8148699-3001-4bf5-a552-18f71a6a168b,,꽃천사 루루
7e3f1ab2-b033-45fb-b6f7-aa5bb3e15239,,꾸러기 수비대
b067315a-efca-45e5-9a14-2538b67f05b3,,꿈꾸는 남자는 현실주의자
f8cfb370-493a-4f73-9546-46ec2703c05f,,꿈빛 파티시엘
